City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,caleta de carquin,-11.0925,-77.6267,298.47,79,76,4.54,PE,1706989396
339,al jawf,29.5,38.75,282.99,50,0,3.29,SA,1706989396
340,okhotsk,59.3833,143.3,248.17,76,18,7.83,RU,1706989396
341,mnichovo hradiste,50.5272,14.9713,282.41,88,100,5.82,CZ,1706989396
342,kuching,1.55,110.3333,300.94,94,40,1.03,MY,1706989396
343,brookings,44.3114,-96.7984,275.15,100,100,5.66,US,1706989397
344,kaoma,-14.7833,24.8,293.07,87,97,1.62,ZM,1706989397
345,mingoyo,-10.1,39.6333,297.43,96,67,0.25,TZ,1706989397
346,kota bharu,6.1333,102.2386,297.12,94,20,0.51,MY,1706989397
347,yanam,16.7333,82.2167,293.93,90,23,0.62,IN,1706989397
348,charters towers,-20.1,146.2667,296.58,81,100,3.86,AU,1706989397
349,perugorria,-29.3413,-58.6106,312.56,22,71,2.3,AR,1706989397
350,taraz,42.9,71.3667,271.38,69,100,3.0,KZ,1706989398
351,pisco,-13.7,-76.2167,301.18,61,0,3.6,PE,1706989398
352,nguigmi,14.2495,13.1092,293.4,20,2,6.31,NE,1706989398
353,tofol,5.3248,163.0078,301.3,82,100,9.41,FM,1706989398
354,hegang,47.4,130.3667,246.81,96,5,1.65,CN,1706989398
355,lodja,-3.4833,23.4333,295.72,87,100,0.54,CD,1706989398
356,turpan,42.9333,89.1667,272.28,52,7,0.39,CN,1706989398
357,taro,-8.3862,115.28,297.15,97,100,0.48,ID,1706989399
358,vikulovo,56.8167,70.6107,254.82,98,85,3.33,RU,1706989399
359,taroa,8.7058,171.2275,300.03,81,83,9.85,MH,1706989399
360,hovd,48.0056,91.6419,253.68,86,5,1.26,MN,1706989391
361,fada n'gourma,12.0622,0.3578,299.91,14,2,5.29,BF,1706989399
